id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n11-0030,ddgp,2,11,2,2-4;3-8,"{1,2,3,4,7,8}","{4,7,8}",3,6,3,0,0,3,3,8,0,0,1,3,3,3,0,1,True,True,"{8}@{1,7}:base-clique;{8}@{1,7}:cone;{7,8}@{1,2}:base-clique;{7,8}@{1,2}:cone;{4}@{1,3}:base-clique;{4}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n11-0031,ddgp,2,11,2,3-6;9-11,"{1,2,3,4,5,6,8,9,10,11}","{4,5,6,8,9,10,11}",7,13,7,15,6,8,2,4,0,0,1,23,8,8,0,1,True,True,"{11}@{2,10}:base-clique;{11}@{2,10}:cone;{10,11}@{6,8}:base-clique;{10,11}@{6,8}:cone;{9}@{1,4}:base-clique;{9}@{1,4}:cone;{8,10,11}@{1,2}:cone;{6,10,11}@{4,5}:base-clique;{6,10,11}@{4,5}:cone;{5,6,10,11}@{2,3}:base-clique;{5,6,10,11}@{2,3}:cone;{4,6,9,10,11}@{1,2}:cone;{4,6,8,9,10,11}@{1,2}:base-clique",,4,1,2,0,True,True,True
ddgp-p2-n11-0032,ddgp,2,11,2,1-10;1-11,"{1,2,3,4,5,6,10,11}","{4,5,6,10,11}",5,10,5,10,4,5,1,2,0,0,1,14,5,5,0,1,True,True,"{11}@{5,10}:base-clique;{11}@{5,10}:cone;{10,11}@{3,6}:base-clique;{10,11}@{3,6}:cone;{6,10,11}@{1,4}:base-clique;{6,10,11}@{1,4}:cone;{5,11}@{2,4}:base-clique;{5,11}@{2,4}:cone;{4,5,6,10,11}@{1,3}:base-clique;{4,5,6,10,11}@{1,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n11-0033,ddgp,2,11,2,4-10;9-11,"{1,2,3,4,5,9,10,11}","{4,5,9,10,11}",5,9,5,0,0,5,5,32,0,0,1,5,5,5,0,1,True,True,"{11}@{2,3}:base-clique;{11}@{2,3}:cone;{10}@{1,5}:base-clique;{10}@{1,5}:cone;{9}@{1,3}:cone;{5,10}@{1,3}:cone;{5,9,10}@{1,3}:base-clique;{4}@{1,2}:base-clique;{4}@{1,2}:cone",,32,1,5,0,True,True,True
ddgp-p2-n11-0034,ddgp,2,11,2,1-5;2-8,"{1,2,3,4,5,8}","{4,5,8}",3,6,3,2,1,3,2,4,0,0,1,5,3,3,0,1,True,True,"{8}@{3,4}:base-clique;{8}@{3,4}:cone;{5}@{2,4}:base-clique;{5}@{2,4}:cone;{4,5,8}@{1,3}:base-clique;{4,5,8}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n11-0035,ddgp,2,11,2,2-8;3-7,"{1,2,3,6,7,8}","{6,7,8}",3,5,3,1,1,3,2,4,0,0,1,3,3,3,0,1,True,True,"{8}@{1,6}:base-clique;{8}@{1,6}:cone;{7}@{1,2}:cone;{6,8}@{1,2}:cone;{6,7,8}@{1,2}:base-clique",,4,1,2,0,True,True,True
ddgp-p2-n11-0036,ddgp,2,11,2,2-8;6-8,"{1,2,3,6,7,8}","{6,7,8}",3,6,3,4,2,3,1,2,0,0,1,7,3,3,0,1,True,True,"{8}@{3,7}:base-clique;{8}@{3,7}:cone;{7,8}@{2,6}:base-clique;{7,8}@{2,6}:cone;{6,7,8}@{1,3}:base-clique;{6,7,8}@{1,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n11-0037,ddgp,2,11,2,5-10;8-9,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,13,7,6,3,7,4,16,0,0,1,13,7,7,0,1,True,True,"{10}@{1,2}:base-clique;{10}@{1,2}:cone;{9}@{2,4}:cone;{8}@{2,7}:base-clique;{8}@{2,7}:cone;{7,8}@{3,6}:base-clique;{7,8}@{3,6}:cone;{6,7,8}@{3,4}:base-clique;{6,7,8}@{3,4}:cone;{5}@{2,4}:cone;{5,9}@{2,4}:base-clique;{4,5,6,7,8,9}@{2,3}:base-clique;{4,5,6,7,8,9}@{2,3}:cone",,16,1,4,0,True,True,True
ddgp-p2-n11-0038,ddgp,2,11,2,2-10;6-8,"{1,2,3,4,6,7,8,10}","{4,6,7,8,10}",5,10,5,10,4,5,1,2,0,0,1,16,5,5,0,1,True,True,"{10}@{7,8}:base-clique;{10}@{7,8}:cone;{8,10}@{3,4}:base-clique;{8,10}@{3,4}:cone;{7,10}@{4,6}:base-clique;{7,10}@{4,6}:cone;{6,7,10}@{1,2}:base-clique;{6,7,10}@{1,2}:cone;{4,7,8,10}@{2,3}:base-clique;{4,7,8,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n11-0039,ddgp,2,11,2,1-8;3-6,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,8,4,1,1,4,3,8,2,1,2,4,3,4,1,2,True,True,"{8}@{4,5}:base-clique;{8}@{4,5}:cone;{6}@{1,2}:base-clique;{6}@{1,2}:cone;{5,8}@{3,4}:base-clique;{5,8}@{3,4}:cone;{4,5,8}@{1,3}:base-clique;{4,5,8}@{1,3}:cone","{4,5,8}@{1,3}:base-clique;{4,5,8}@{1,3}:cone",8,2,3,1,True,True,True
