id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p5-n12-0006,ddgp,2,12,5,1-11;2-7;4-5;4-9;5-11,"{1,2,3,4,5,6,7,8,9,10,11}","{4,5,6,7,8,9,10,11}",8,4,2,4,0,0,1,3,2,2,0,1,True,"{11}@{2,10}:base-clique;{11}@{2,10}:cone;{9}@{5,8}:base-clique;{9}@{5,8}:cone",,4,1,2,0,True,True,True
ddgp-p5-n12-0007,ddgp,2,12,5,1-9;3-5;7-9;9-12;11-12,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,10,5,32,0,0,1,7,5,5,0,1,True,"{12}@{4,8}:base-clique;{12}@{4,8}:cone;{11}@{9,10}:base-clique;{11}@{9,10}:cone;{10,11}@{3,9}:base-clique;{10,11}@{3,9}:cone;{8,12}@{2,4}:base-clique;{8,12}@{2,4}:cone;{7}@{5,6}:base-clique;{7}@{5,6}:cone",,32,1,5,0,True,True,True
ddgp-p5-n12-0008,ddgp,2,12,5,5-10;5-12;7-8;8-9;8-11,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,12,6,64,0,0,1,8,6,6,0,1,True,"{12}@{6,8}:base-clique;{12}@{6,8}:cone;{11}@{4,6}:base-clique;{11}@{4,6}:cone;{10}@{1,4}:base-clique;{10}@{1,4}:cone;{9}@{2,5}:base-clique;{9}@{2,5}:cone;{8,12}@{5,6}:base-clique;{8,12}@{5,6}:cone;{7}@{3,6}:base-clique;{7}@{3,6}:cone",,64,1,6,0,True,True,True
ddgp-p5-n12-0009,ddgp,2,12,5,1-10;1-12;5-9;10-11;10-12,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,6,3,8,0,0,1,6,3,3,0,1,True,"{12}@{4,11}:base-clique;{12}@{4,11}:cone;{10}@{3,8}:base-clique;{10}@{3,8}:cone;{9}@{2,3}:base-clique;{9}@{2,3}:cone",,8,1,3,0,True,True,True
ddgp-p5-n12-0010,ddgp,2,12,5,1-12;3-10;3-12;5-9;9-12,"{1,2,3,4,5,6,7,9,10,12}","{4,5,6,7,9,10,12}",7,4,2,4,0,0,1,4,2,2,0,1,True,"{12}@{5,7}:base-clique;{12}@{5,7}:cone;{10}@{6,7}:base-clique;{10}@{6,7}:cone",,4,1,2,0,True,True,True
ddgp-p5-n12-0011,ddgp,2,12,5,1-8;2-12;5-6;5-12;10-11,"{1,2,3,4,5,6,7,8,10,11,12}","{4,5,6,7,8,10,11,12}",8,7,4,16,0,0,1,5,4,4,0,1,True,"{12}@{6,7}:cone;{11}@{1,7}:base-clique;{11}@{1,7}:cone;{10}@{2,7}:base-clique;{10}@{2,7}:cone;{8}@{6,7}:cone;{8,12}@{6,7}:base-clique",,16,1,4,0,True,True,True
ddgp-p5-n12-0012,ddgp,2,12,5,1-9;1-10;3-12;4-9;10-11,"{1,2,3,4,6,7,8,9,10,11,12}","{4,6,7,8,9,10,11,12}",8,7,4,16,0,0,1,7,4,4,0,1,True,"{12}@{7,11}:base-clique;{12}@{7,11}:cone;{10}@{7,8}:base-clique;{10}@{7,8}:cone;{6,7,8,9,10,11,12}@{2,3}:base-clique;{4}@{1,2}:base-clique;{4}@{1,2}:cone",,16,1,4,0,True,True,True
ddgp-p5-n12-0013,ddgp,2,12,5,3-12;4-9;5-7;7-11;8-11,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,10,5,32,0,0,1,8,5,5,0,1,True,"{12}@{8,10}:base-clique;{12}@{8,10}:cone;{11}@{1,2}:base-clique;{11}@{1,2}:cone;{9}@{2,6}:base-clique;{9}@{2,6}:cone;{7}@{1,3}:base-clique;{7}@{1,3}:cone;{4,5,6,8,9,10,12}@{2,3}:base-clique;{4,5,6,8,9,10,12}@{2,3}:cone",,32,1,5,0,True,True,True
ddgp-p5-n12-0014,ddgp,2,12,5,1-7;2-9;7-10;8-12;9-10,"{1,2,3,4,7,8,9,10,12}","{4,7,8,9,10,12}",6,7,4,16,0,0,1,6,4,4,0,1,True,"{12}@{4,9}:base-clique;{12}@{4,9}:cone;{10}@{2,3}:cone;{9,12}@{4,8}:base-clique;{9,12}@{4,8}:cone;{7}@{2,3}:cone;{7,10}@{2,3}:base-clique",,16,1,4,0,True,True,True
ddgp-p5-n12-0015,ddgp,2,12,5,2-7;2-11;5-10;6-8;9-12,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,8,4,16,0,0,1,4,4,4,0,1,True,"{12}@{5,7}:base-clique;{12}@{5,7}:cone;{11}@{3,8}:base-clique;{11}@{3,8}:cone;{10}@{6,7}:base-clique;{10}@{6,7}:cone;{9}@{1,4}:base-clique;{9}@{1,4}:cone",,16,1,4,0,True,True,True
