id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-last-seed-0011,ddgp,2,11,1,1-11,"{1,2,3,4,5,6,9,10,11}","{4,5,6,9,10,11}",6,4,2,4,0,0,1,2,2,2,0,1,True,"{11}@{9,10}:base-clique;{11}@{9,10}:cone;{10,11}@{6,9}:base-clique;{10,11}@{6,9}:cone",,4,1,2,0,True,True,True
ddgp-last-seed-0012,ddgp,2,11,1,2-11,"{1,2,3,4,7,11}","{4,7,11}",3,6,3,8,0,0,1,3,3,3,0,1,True,"{11}@{4,7}:base-clique;{11}@{4,7}:cone;{7,11}@{3,4}:base-clique;{7,11}@{3,4}:cone;{4,7,11}@{1,3}:base-clique;{4,7,11}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-last-seed-0013,ddgp,2,11,1,2-11,"{1,2,3,4,6,7,9,11}","{4,6,7,9,11}",5,4,2,4,0,0,1,2,2,2,0,1,True,"{11}@{7,9}:base-clique;{11}@{7,9}:cone;{9,11}@{3,7}:base-clique;{9,11}@{3,7}:cone",,4,1,2,0,True,True,True
ddgp-last-seed-0014,ddgp,2,11,1,2-11,"{1,2,3,4,5,6,7,8,11}","{4,5,6,7,8,11}",6,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{7,8}:base-clique;{11}@{7,8}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0015,ddgp,2,11,1,2-11,"{1,2,3,5,7,9,10,11}","{5,7,9,10,11}",5,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{3,10}:base-clique;{11}@{3,10}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0016,ddgp,2,11,1,1-11,"{1,2,3,4,11}","{4,11}",2,4,2,4,0,0,1,2,2,2,0,1,True,"{11}@{3,4}:base-clique;{11}@{3,4}:cone;{4,11}@{2,3}:base-clique;{4,11}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-last-seed-0017,ddgp,2,11,1,2-11,"{1,2,3,4,5,9,11}","{4,5,9,11}",4,6,3,8,0,0,1,3,3,3,0,1,True,"{11}@{5,9}:base-clique;{11}@{5,9}:cone;{9,11}@{4,5}:base-clique;{9,11}@{4,5}:cone;{4,5,9,11}@{1,3}:base-clique;{4,5,9,11}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-last-seed-0018,ddgp,2,11,1,1-11,"{1,2,4,6,8,10,11}","{4,6,8,10,11}",5,4,2,4,2,1,2,1,1,2,1,2,True,"{11}@{8,10}:base-clique;{11}@{8,10}:cone;{4,6,8,10,11}@{1,2}:base-clique;{4,6,8,10,11}@{1,2}:cone","{4,6,8,10,11}@{1,2}:base-clique;{4,6,8,10,11}@{1,2}:cone",4,2,2,1,True,True,True
ddgp-last-seed-0019,ddgp,2,11,1,2-11,"{1,2,3,4,5,8,11}","{4,5,8,11}",4,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{3,8}:base-clique;{11}@{3,8}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0020,ddgp,2,11,1,1-11,"{1,2,3,4,5,7,9,10,11}","{4,5,7,9,10,11}",6,2,1,2,0,0,1,1,1,1,0,1,True,"{11}@{3,10}:base-clique;{11}@{3,10}:cone",,2,1,1,0,True,True,True
